event_result_id,pdga_event_id,pdga_number,division,place,total_score,cash,event_rating
4039689,77775,44382,MPO,1,180,10000,1052
4039690,77775,38008,MPO,2,181,7000,1050
4039691,77775,35449,MPO,3,182,4500,1048
4039692,77775,75412,MPO,4,184,3300,1044
4039693,77775,85132,MPO,5,185,2535,1042
4039694,77775,50670,MPO,6,186,2034,1041
4039695,77775,18330,MPO,6,186,2034,1040
4039696,77775,60436,MPO,6,186,2034,1040
4039697,77775,58923,MPO,9,187,1643,1038
4039698,77775,91249,MPO,9,187,1643,1038
4039699,77775,122356,MPO,9,187,1643,1038
4039700,77775,80331,MPO,12,188,1450,1036
4039701,77775,59635,MPO,13,189,1370,1034
4039702,77775,48950,MPO,14,190,1255,1032
4039703,77775,69424,MPO,14,190,1255,1032
4039704,77775,50671,MPO,16,191,1160,1031
4039705,77775,31644,MPO,17,192,921,1029
4039706,77775,76669,MPO,17,192,921,1028
4039707,77775,8332,MPO,17,192,921,1029
4039708,77775,63765,MPO,17,192,921,1029
4039709,77775,87673,MPO,17,192,921,1029
4039710,77775,11534,MPO,17,192,921,1028
4039711,77775,57365,MPO,17,192,921,1028
4039712,77775,91925,MPO,17,192,921,1028
4039713,77775,81739,MPO,17,192,921,1028
4039714,77775,79748,MPO,26,193,725,1026
4039715,77775,129963,MPO,26,193,725,1026
4039716,77775,62467,MPO,28,194,615,1025
4039717,77775,24341,MPO,28,194,615,1024
4039718,77775,89394,MPO,28,194,615,1025
4039719,77775,65266,MPO,28,194,615,1024
4039720,77775,34250,MPO,28,194,615,1025
4039721,77775,61770,MPO,28,194,615,1024
4039722,77775,145206,MPO,34,195,503,1023
4039723,77775,13864,MPO,34,195,503,1023
4039724,77775,45971,MPO,34,195,503,1023
4039725,77775,88212,MPO,34,195,503,1022
4039726,77775,68285,MPO,34,195,503,1022
4039727,77775,97115,MPO,34,195,503,1022
4039728,77775,75590,MPO,40,196,435,1021
4039729,77775,101574,MPO,40,196,435,1021
4039730,77775,98091,MPO,40,196,435,1020
4039731,77775,93475,MPO,40,196,435,1020
4039732,77775,41760,MPO,44,197,270,1019
4039733,77775,79047,MPO,44,197,270,1019
4039734,77775,33705,MPO,44,197,270,1019
4039735,77775,98161,MPO,47,198,0,1017
4039736,77775,68286,MPO,47,198,0,1017
4039737,77775,72844,MPO,47,198,0,1016
4039738,77775,59419,MPO,47,198,0,1017
4039739,77775,53565,MPO,47,198,0,1017
4039740,77775,51685,MPO,52,199,0,1015
4039741,77775,17295,MPO,52,199,0,1015
4039742,77775,25541,MPO,52,199,0,1015
4039743,77775,50401,MPO,52,199,0,1015
4039744,77775,119504,MPO,52,199,0,1014
4039745,77775,132521,MPO,52,199,0,1015
4039746,77775,39015,MPO,52,199,0,1015
4039747,77775,54049,MPO,52,199,0,1015
4039748,77775,27523,MPO,52,199,0,1015
4039749,77775,113179,MPO,61,200,0,1013
4039750,77775,78817,MPO,112,999,0,1012
4039751,77775,96512,MPO,62,201,0,1011
4039752,77775,27171,MPO,63,202,0,1009
4039753,77775,88279,MPO,63,202,0,1009
4039754,77775,100815,MPO,63,202,0,1009
4039755,77775,43834,MPO,63,202,0,1009
4039756,77775,68103,MPO,63,202,0,1009
4039757,77775,153445,MPO,63,202,0,1009
4039758,77775,58320,MPO,69,203,0,1007
4039759,77775,9852,MPO,70,204,0,1006
4039760,77775,121715,MPO,70,204,0,1005
4039761,77775,85850,MPO,70,204,0,1004
4039762,77775,99246,MPO,70,204,0,1005
4039763,77775,89460,MPO,74,205,0,1003
4039764,77775,101197,MPO,74,205,0,1003
4039765,77775,139228,MPO,74,205,0,1003
4039766,77775,129032,MPO,74,205,0,1003
4039767,77775,99648,MPO,74,205,0,1002
4039768,77775,43762,MPO,79,206,0,1001
