event_round_player_stats_id,event_round_id,stat_id,is_tie,round_rank,stat_count,opportunity_count,printed_value
37262,9516847,2,1,27,5,18,27.78
37263,9516847,3,1,12,10,18,55.56
37264,9516847,4,1,14,2,18,11.11
37267,9516847,7,1,24,7,8,87.5
37268,9516847,8,1,16,2,5,40
37270,9516847,10,1,8,6,18,33.33
37271,9516847,11,1,1,0,18,0
37272,9516847,12,1,1,0,18,0
37273,9516847,13,1,12,12,18,66.67
37276,9516847,16,0,36,241,18,241
37278,9516847,18,0,39,NULL,18,13.39
37298,9516848,2,1,5,7,18,38.89
37299,9516848,3,1,5,11,18,61.11
37300,9516848,4,1,40,1,18,5.56
37303,9516848,7,1,33,8,10,80
37304,9516848,8,1,5,3,4,75
37306,9516848,10,0,3,8,18,44.44
37307,9516848,11,1,44,1,18,5.56
37308,9516848,12,1,1,0,18,0
37309,9516848,13,1,56,9,18,50
37312,9516848,16,0,2,334,18,334
37314,9516848,18,0,2,NULL,18,18.56
36434,9516849,2,1,1,9,18,50
36435,9516849,3,1,5,11,18,61.11
36436,9516849,4,1,5,3,18,16.67
36439,9516849,7,1,33,8,10,80
36440,9516849,8,1,16,2,5,40
36442,9516849,10,0,1,10,18,55.56
36443,9516849,11,1,1,0,18,0
36444,9516849,12,1,60,4,18,22.22
36445,9516849,13,1,111,4,18,22.22
36448,9516849,16,0,9,300,18,300
36450,9516849,18,0,10,NULL,18,16.67
35480,9516850,2,1,13,6,18,33.33
35481,9516850,3,1,29,8,18,44.44
35482,9516850,4,1,40,1,18,5.56
35485,9516850,7,1,1,12,12,100
35486,9516850,8,1,8,1,2,50
35488,9516850,10,1,4,7,18,38.89
35489,9516850,11,1,1,0,18,0
35490,9516850,12,1,7,1,18,5.56
35491,9516850,13,1,34,10,18,55.56
35494,9516850,16,1,19,278,18,278
35496,9516850,18,1,20,NULL,18,15.44
37280,9516852,2,1,5,7,18,38.89
37281,9516852,3,1,2,12,18,66.67
37282,9516852,4,1,14,2,18,11.11
37285,9516852,7,1,1,10,10,100
37286,9516852,8,1,53,1,8,12.5
37288,9516852,10,1,4,7,18,38.89
37289,9516852,11,1,1,0,18,0
37290,9516852,12,1,13,2,18,11.11
37291,9516852,13,1,56,9,18,50
37294,9516852,16,1,27,261,18,261
37296,9516852,18,1,28,NULL,18,14.5
35984,9516854,2,1,13,6,18,33.33
35985,9516854,3,0,1,13,18,72.22
35986,9516854,4,1,14,2,18,11.11
35989,9516854,7,1,24,7,8,87.5
35990,9516854,8,1,31,2,10,20
35992,9516854,10,1,8,6,18,33.33
35993,9516854,11,1,1,0,18,0
35994,9516854,12,1,13,2,18,11.11
35995,9516854,13,1,34,10,18,55.56
35998,9516854,16,1,25,264,18,264
36000,9516854,18,0,26,NULL,18,14.67
36128,9516857,2,1,5,7,18,38.89
36129,9516857,3,1,5,11,18,61.11
36130,9516857,4,1,5,3,18,16.67
36133,9516857,7,1,50,8,11,72.73
36134,9516857,8,1,19,2,6,33.33
36136,9516857,10,1,8,6,18,33.33
36137,9516857,11,1,44,1,18,5.56
36138,9516857,12,1,13,2,18,11.11
36139,9516857,13,1,56,9,18,50
36142,9516857,16,1,14,286,18,286
36144,9516857,18,1,14,NULL,18,15.89
37136,9516859,2,1,13,6,18,33.33
37137,9516859,3,1,17,9,18,50
37138,9516859,4,1,14,2,18,11.11
37141,9516859,7,1,66,7,11,63.64
37142,9516859,8,1,19,1,3,33.33
37144,9516859,10,1,8,6,18,33.33
37145,9516859,11,1,1,0,18,0
37146,9516859,12,1,60,4,18,22.22
37147,9516859,13,1,78,8,18,44.44
37150,9516859,16,0,46,226,18,226
37152,9516859,18,0,47,NULL,18,12.56
37154,9516865,2,1,27,5,18,27.78
37155,9516865,3,1,17,9,18,50
37156,9516865,4,1,5,3,18,16.67
37159,9516865,7,1,73,3,5,60
37160,9516865,8,1,31,1,5,20
37162,9516865,10,1,22,5,18,27.78
37163,9516865,11,1,1,0,18,0
37164,9516865,12,1,34,3,18,16.67
37165,9516865,13,1,34,10,18,55.56
37168,9516865,16,0,84,149,18,149
37170,9516865,18,0,84,NULL,18,8.28
36920,9516881,2,1,39,4,18,22.22
36921,9516881,3,1,69,5,18,27.78
36922,9516881,4,1,40,1,18,5.56
36925,9516881,7,1,15,14,15,93.33
36926,9516881,8,1,58,0,4,0
36928,9516881,10,1,44,4,18,22.22
36929,9516881,11,1,1,0,18,0
36930,9516881,12,1,81,5,18,27.78
36931,9516881,13,1,56,9,18,50
36934,9516881,16,0,37,236,18,236
36936,9516881,18,0,40,NULL,18,13.11
37244,9516882,2,1,39,4,18,22.22
37245,9516882,3,1,17,9,18,50
37246,9516882,4,1,14,2,18,11.11
37249,9516882,7,1,73,6,10,60
37250,9516882,8,1,46,1,6,16.67
37252,9516882,10,1,44,4,18,22.22
37253,9516882,11,1,1,0,18,0
37254,9516882,12,1,60,4,18,22.22
37255,9516882,13,1,34,10,18,55.56
37258,9516882,16,1,69,179,18,179
37260,9516882,18,1,69,NULL,18,9.94
37028,9516883,2,1,39,4,18,22.22
37029,9516883,3,1,56,6,18,33.33
37030,9516883,4,1,40,1,18,5.56
37033,9516883,7,1,1,13,13,100
37034,9516883,8,1,31,1,5,20
37036,9516883,10,1,44,4,18,22.22
37037,9516883,11,1,1,0,18,0
37038,9516883,12,1,60,4,18,22.22
37039,9516883,13,1,34,10,18,55.56
37042,9516883,16,0,22,276,18,276
37044,9516883,18,0,23,NULL,18,15.33
37316,9516885,2,1,5,7,18,38.89
37317,9516885,3,1,5,11,18,61.11
37318,9516885,4,1,14,2,18,11.11
37321,9516885,7,1,41,10,13,76.92
37322,9516885,8,1,58,0,5,0
37324,9516885,10,1,22,5,18,27.78
37325,9516885,11,1,44,1,18,5.56
37326,9516885,12,1,13,2,18,11.11
37327,9516885,13,1,34,10,18,55.56
37330,9516885,16,1,48,219,18,219
37332,9516885,18,1,49,NULL,18,12.17
35768,9516886,2,1,56,3,17,17.65
35769,9516886,3,1,54,6,17,35.29
35770,9516886,4,1,38,1,17,5.88
35773,9516886,7,1,50,8,11,72.73
35774,9516886,8,1,58,0,3,0
35776,9516886,10,1,85,2,18,11.11
35777,9516886,11,1,1,0,18,0
35778,9516886,12,1,13,2,18,11.11
35779,9516886,13,1,2,14,18,77.78
35782,9516886,16,1,65,181,18,181
35784,9516886,18,0,63,NULL,18,10.65
37334,9516888,2,1,59,3,18,16.67
37335,9516888,3,1,29,8,18,44.44
37336,9516888,4,1,14,2,18,11.11
37339,9516888,7,1,1,8,8,100
37340,9516888,8,1,19,2,6,33.33
37342,9516888,10,1,22,5,18,27.78
37343,9516888,11,1,1,0,18,0
37344,9516888,12,1,81,5,18,27.78
37345,9516888,13,1,78,8,18,44.44
37348,9516888,16,0,23,272,18,272
37350,9516888,18,0,24,NULL,18,15.11
36110,9516889,2,NULL,NULL,0,0,0
36111,9516889,3,NULL,NULL,0,0,0
36112,9516889,4,NULL,NULL,0,0,0
36115,9516889,7,NULL,NULL,0,0,0
36116,9516889,8,NULL,NULL,0,0,0
36118,9516889,10,1,59,3,18,16.67
36119,9516889,11,1,1,0,18,0
36120,9516889,12,1,34,3,18,16.67
36121,9516889,13,1,12,12,18,66.67
36124,9516889,16,1,94,0,18,0
36126,9516889,18,1,94,NULL,18,0
37208,9516894,2,1,5,7,18,38.89
37209,9516894,3,1,5,11,18,61.11
37210,9516894,4,1,14,2,18,11.11
37213,9516894,7,0,79,5,9,55.56
37214,9516894,8,1,58,0,4,0
37216,9516894,10,1,44,4,18,22.22
37217,9516894,11,1,44,1,18,5.56
37218,9516894,12,1,34,3,18,16.67
37219,9516894,13,1,34,10,18,55.56
37222,9516894,16,1,73,170,18,170
37224,9516894,18,1,73,NULL,18,9.44
36200,9516898,2,NULL,NULL,0,0,0
36201,9516898,3,NULL,NULL,0,0,0
36202,9516898,4,NULL,NULL,0,0,0
36205,9516898,7,NULL,NULL,0,0,0
36206,9516898,8,NULL,NULL,0,0,0
36208,9516898,10,1,59,3,18,16.67
36209,9516898,11,1,44,1,18,5.56
36210,9516898,12,1,7,1,18,5.56
36211,9516898,13,1,6,13,18,72.22
36214,9516898,16,1,94,0,18,0
36216,9516898,18,1,94,NULL,18,0
36290,9516901,2,NULL,NULL,0,0,0
36291,9516901,3,NULL,NULL,0,0,0
36292,9516901,4,NULL,NULL,0,0,0
36295,9516901,7,NULL,NULL,0,0,0
36296,9516901,8,NULL,NULL,0,0,0
36298,9516901,10,1,8,6,18,33.33
36299,9516901,11,1,87,2,18,11.11
36300,9516901,12,1,13,2,18,11.11
36301,9516901,13,1,78,8,18,44.44
36304,9516901,16,1,94,0,18,0
36306,9516901,18,1,94,NULL,18,0
40040,9516959,2,1,1,9,18,50
40041,9516959,3,1,1,13,18,72.22
40042,9516959,4,1,7,3,18,16.67
40045,9516959,7,1,69,6,8,75
40046,9516959,8,1,21,2,5,40
40048,9516959,10,1,1,9,18,50
40049,9516959,11,1,1,0,18,0
40050,9516959,12,1,13,2,18,11.11
40051,9516959,13,1,94,7,18,38.89
40054,9516959,16,0,26,269,18,269
40056,9516959,18,0,29,NULL,18,14.94
40094,9516960,2,1,9,7,18,38.89
40095,9516960,3,1,11,11,18,61.11
40096,9516960,4,1,46,1,18,5.56
40099,9516960,7,1,30,8,9,88.89
40100,9516960,8,1,21,2,5,40
40102,9516960,10,1,1,9,18,50
40103,9516960,11,1,57,1,18,5.56
40104,9516960,12,1,5,1,18,5.56
40105,9516960,13,1,94,7,18,38.89
40108,9516960,16,0,14,311,18,311
40110,9516960,18,0,15,NULL,18,17.28
40022,9516961,2,1,1,9,18,50
40023,9516961,3,1,1,13,18,72.22
40024,9516961,4,1,2,4,18,22.22
40027,9516961,7,1,1,7,7,100
40028,9516961,8,1,71,0,6,0
40030,9516961,10,1,1,9,18,50
40031,9516961,11,1,1,0,18,0
40032,9516961,12,1,13,2,18,11.11
40033,9516961,13,1,94,7,18,38.89
40036,9516961,16,0,69,218,18,218
40038,9516961,18,0,72,NULL,18,12.11
40058,9516962,2,1,1,9,18,50
40059,9516962,3,1,6,12,18,66.67
40060,9516962,4,1,46,1,18,5.56
40063,9516962,7,1,88,10,15,66.67
40064,9516962,8,1,71,0,4,0
40066,9516962,10,1,15,6,18,33.33
40067,9516962,11,1,1,0,18,0
40068,9516962,12,1,37,3,18,16.67
40069,9516962,13,1,58,9,18,50
40072,9516962,16,1,52,234,18,234
40074,9516962,18,1,54,NULL,18,13
39824,9516963,2,1,9,7,18,38.89
39825,9516963,3,1,48,8,18,44.44
39826,9516963,4,1,7,3,18,16.67
39829,9516963,7,1,69,6,8,75
39830,9516963,8,1,13,1,2,50
39832,9516963,10,1,15,6,18,33.33
39833,9516963,11,1,1,0,18,0
39834,9516963,12,1,13,2,18,11.11
39835,9516963,13,1,40,10,18,55.56
39838,9516963,16,0,77,204,18,204
