event_round_id,pdga_event_id,pdga_number,division,round,score
9516847,77775,38008,MPO,1,60
9516848,77775,44382,MPO,1,60
9516849,77775,91249,MPO,1,60
9516850,77775,122356,MPO,1,60
9516852,77775,75412,MPO,1,61
9516854,77775,85132,MPO,1,62
9516857,77775,18330,MPO,1,63
9516859,77775,35449,MPO,1,63
9516865,77775,57365,MPO,1,64
9516881,77775,8332,MPO,1,66
9516882,77775,27523,MPO,1,66
9516883,77775,34250,MPO,1,66
9516885,77775,50670,MPO,1,66
9516886,77775,50671,MPO,1,66
9516888,77775,62467,MPO,1,66
9516889,77775,63765,MPO,1,66
9516894,77775,45971,MPO,1,67
9516898,77775,75590,MPO,1,67
9516901,77775,101574,MPO,1,67
9516959,77775,44382,MPO,2,59
9516960,77775,38008,MPO,2,60
9516961,77775,85132,MPO,2,59
9516962,77775,122356,MPO,2,63
9516963,77775,35449,MPO,2,61
9516964,77775,75412,MPO,2,63
9516967,77775,91249,MPO,2,65
9516969,77775,18330,MPO,2,63
9516972,77775,50670,MPO,2,61
9516977,77775,57365,MPO,2,64
9516980,77775,27523,MPO,2,63
9516981,77775,34250,MPO,2,63
9516982,77775,50671,MPO,2,63
9516988,77775,45971,MPO,2,63
9516995,77775,101574,MPO,2,64
9516996,77775,8332,MPO,2,65
9516997,77775,63765,MPO,2,65
9517003,77775,75590,MPO,2,65
9517005,77775,62467,MPO,2,66
9517071,77775,114560,FPO,1,62
9517072,77775,64927,FPO,1,63
9517073,77775,133547,FPO,1,63
9517074,77775,144112,FPO,1,64
9517075,77775,59227,FPO,1,65
9517076,77775,81351,FPO,1,65
9517077,77775,85942,FPO,1,66
9517078,77775,48976,FPO,1,67
9517081,77775,29190,FPO,1,71
9517083,77775,99455,FPO,1,71
9517087,77775,32917,FPO,1,73
9517092,77775,99441,FPO,1,74
9517096,77775,198446,FPO,1,75
9517100,77775,62879,FPO,1,77
9517114,77775,144112,FPO,2,62
9517115,77775,133547,FPO,2,63
9517116,77775,85942,FPO,2,61
9517117,77775,64927,FPO,2,65
9517118,77775,114560,FPO,2,66
9517119,77775,59227,FPO,2,64
9517121,77775,48976,FPO,2,70
9517123,77775,29190,FPO,2,67
9517124,77775,99455,FPO,2,68
9517125,77775,32917,FPO,2,67
9517126,77775,99441,FPO,2,67
9517139,77775,198446,FPO,2,73
9517141,77775,62879,FPO,2,72
9517155,77775,81351,FPO,2,999
9517156,77775,144112,FPO,3,67
9517157,77775,133547,FPO,3,68
9517158,77775,64927,FPO,3,60
9517159,77775,85942,FPO,3,67
9517160,77775,59227,FPO,3,67
9517161,77775,114560,FPO,3,70
9517164,77775,48976,FPO,3,66
9517165,77775,29190,FPO,3,69
9517166,77775,99455,FPO,3,68
9517167,77775,32917,FPO,3,73
9517171,77775,99441,FPO,3,76
9517180,77775,198446,FPO,3,66
9517183,77775,62879,FPO,3,73
9517229,77775,44382,MPO,3,61
9517230,77775,38008,MPO,3,61
9517231,77775,35449,MPO,3,58
9517232,77775,75412,MPO,3,60
9517233,77775,85132,MPO,3,64
9517234,77775,50670,MPO,3,59
9517235,77775,18330,MPO,3,60
9517238,77775,91249,MPO,3,62
9517239,77775,122356,MPO,3,64
9517244,77775,50671,MPO,3,62
9517247,77775,8332,MPO,3,61
9517248,77775,63765,MPO,3,61
9517251,77775,57365,MPO,3,64
9517256,77775,62467,MPO,3,62
9517260,77775,34250,MPO,3,65
9517264,77775,45971,MPO,3,65
9517268,77775,75590,MPO,3,64
9517269,77775,101574,MPO,3,65
9517288,77775,27523,MPO,3,70
9548135,77758,91249,MPO,1,51
9548136,77758,44382,MPO,1,52
9548137,77758,50671,MPO,1,52
9548139,77758,85132,MPO,1,53
9548140,77758,122356,MPO,1,53
9548143,77758,75412,MPO,1,54
9548149,77758,63765,MPO,1,55
9548157,77758,50670,MPO,1,56
9548159,77758,62467,MPO,1,56
